ID,Name,Description,EncounterLayer,Hunger,MoveSpeed,Damage,AttackSpeed,DetectionRange,TriggerRange,TriggerAngle,AttackRange,AttackAngle,HitCount,MeleeDefense,MagicDefense,DropItem1ID,DropItem1Rate,DropItem1Count,DropItem2ID,DropItem2Rate,DropItem2Count,AttackParticleKey
800001,선인장,앗따가,1,100,5,15,0.5,7,5,15,6,20,1,10,10,200027,0.5,4,200001,0.3,5,Particle_Enemy_Hit_Default
800002,어인,구워먹으면 맛있다,1,100,7,5,0.4,7,5,20,6,25,1,10,10,200026,0.5,3,200002,0.3,5,Particle_Enemy_Hit_Default
800003,던전 게,던전 최고의 식재료,1,100,4,30,0.7,7,5,30,6,35,1,10,10,200019,0.5,4,200003,0.3,5,Particle_Enemy_Hit_Default
800004,샐러맨더,꼬리를 푹 고아서 보양식으로 만들자,1,100,5,10,1,7,4,15,5,20,3,10,10,200025,0.5,5,200004,0.3,5,Particle_Enemy_Hit_Default
800005,던전 도둑 쥐,이거 먹을 수 있는거에요?,1,100,7,3,0.3,7,4,30,5,40,1,10,10,200022,0.5,3,200001,0.3,5,Particle_Enemy_Hit_Default
800006,미믹,보통 관자만 먹는다,1,100,1,90,0.9,7,2,60,2,80,1,20,20,200018,0.5,4,200002,0.3,5,Particle_Enemy_Hit_Default
800007,거미,튀기면 먹을만하다,1,100,1,10,0.7,7,3,30,4,40,1,10,10,200016,0.5,3,200003,0.3,5,Particle_Enemy_Hit_Default
800008,슬라임,어우 축축해,1,100,3,5,0.9,7,3,20,4,35,1,10,21,200015,0.5,4,200004,0.3,5,Particle_Enemy_Hit_Default
800009,파수꾼,먹어도 돼요?,1,100,6,12,0.4,7,4,20,5,35,1,10,12,200017,0.5,3,200001,0.3,5,Particle_Enemy_Hit_Default
800010,던전 하루살이,이게 하루살이라고?,1,100,6,23,0.5,7,4,15,5,20,1,10,32,200020,0.5,3,200002,0.3,5,Particle_Enemy_Hit_Default
800011,도마뱀 전사,꼬리만 떼고 도망갔다,1,100,5,30,0.4,7,4,15,5,20,1,30,80,200021,0.5,1,200003,0.3,5,Particle_Enemy_Hit_Default
800012,오크,으악,1,100,5,40,0.4,7,4,15,5,20,4,40,90,200022,0.5,3,200004,0.3,5,Particle_Enemy_Hit_Default
