ID,Name,Description,ERecipeType,MaxStack,HungerRestore,Ingredient1ID,Ingredient2ID,EEffectType1,EffectValue1,Duration1,EEffectType2,EffectValue2,Duration2,EEffectType3,EffectValue3,Duration3,IconPath
300001,태양 당근 찜,활력을 주는 빛의 찜 요리,Buff,99,25,200005,200005,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300002,햇살 정원 찜,두 농작물의 달콤함이 조화를 이룬 요리,Buff,99,25,200005,200006,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300003,은밀한 양파 볶음,몰래 먹으면 힘이 솟는 요리,Buff,99,25,200005,200007,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300004,은밀한 감자 조림,땅 속에서 자란 힘의 근원을 담은 요리,Buff,99,25,200005,200008,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300005,주황빛 달빛 카레,신비로운 달 아래서만 완성되는 요리,Buff,99,25,200005,200009,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300006,피의 계약 스튜,용사의 피로 맺은 영약 같은 요리,Buff,99,25,200005,200010,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300007,황금빛 당근빵,모험 전에 꼭 챙겨야 할 만능빵,Buff,99,25,200005,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300008,황금 옥수수 수프,진정한 농부의 축복을 담은 수프,Buff,99,25,200006,200006,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300009,바람개비 퓨전 찜,샤먼들이 바람을 담아 만든 요리,Buff,99,25,200006,200007,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300010,평원의 전사 조림,드워프가 즐겨 먹던 힘의 스튜,Buff,99,25,200006,200008,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300011,풍요의 늪 파이,풍요 신에게 바치던 제물 같은 맛,Buff,99,25,200006,200009,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300012,붉은 노을 볶음,저녁 하늘의 색을 그대로 담은 요리,Buff,99,25,200006,200010,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300013,옥수수 파삭빵,여행자 용 간편 에너지 빵,Buff,99,25,200006,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300014,눈물의 진실 수프,먹으면 진실을 말하게 되는 마법 수프,Buff,99,25,200007,200007,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300015,눈물의 회복 스튜,먹으면 HP가 서서히 회복되는 요리,Buff,99,25,200007,200008,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300016,어스름의 향 파이,늑대 인간들이 선호하는 야식,Buff,99,25,200007,200009,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300017,진실의 토마토 수프,거짓을 꿰뚫는 마법의 음식,Buff,99,25,200007,200010,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300018,빛나는 양파빵,성직자들이 고행 중 먹던 신성한 빵,Buff,99,25,200007,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300019,대지의 감자 구이,튼튼함을 상징하는 전사들의 주식,Buff,99,25,200008,200008,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300020,뿌리와 열매의 찜,대지와 태양의 조화,Buff,99,25,200008,200009,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300021,붉은 뿌리 스튜,언데드도 잠시 숨을 고르는 따뜻한 음식,Buff,99,25,200008,200010,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300022,용맹한 기사의 빵,방패처럼 단단한 식사,Buff,99,25,200008,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300023,쌍둥이 호박 파이,축제에 빠질 수 없는 단맛 폭탄,Buff,99,25,200009,200009,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300024,가을의 피자,호박 크러스트에 토마토 소스 듬뿍,Buff,99,25,200009,200010,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300025,고요한 엘프의 빵,엘프의 사색을 도와주는 빵,Buff,99,25,200009,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300026,붉은 심장 리조또,전사의 피처럼 붉은 정열의 리조또,Buff,99,25,200010,200010,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300027,토마토 파스타,맵고 진한 열정을 담은 파스타,Buff,99,25,200010,200011,HungerTimeRecovery,1,60,MoveSpeed,5,60,None,0,0,TestItemIcon
300028,천상의 밀떡,신들이 즐기는 식감의 향연,Buff,99,25,200011,200011,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300029,애매한 요리,요리에 재능이 없으시군요.,Buff,99,5,200012,-1,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300030,단단한 요리,이빨이 다 나가겠어요.,Buff,99,5,200013,-1,HungerTimeRecovery,1,60,None,0,0,None,0,0,TestItemIcon
300031,드래곤 스테이크,당신은 던전 마스터,Buff,1,100,200015,-1,HungerTimeRecovery,1,600,Boss Damage,0.2,600,Boss Defense,0.2,600,TestItemIcon
300032,강화된 무기,대장장이의 재능이 있으시군요.,Buff,1,0,123123,200010,None,0,0,None,0,0,None,0,0,TestItemIcon
0,감자,감자,Buff,1,0,3,0,HungerTimeRecovery,1,600,Boss Damage,0.2,600,Boss Defense,0.2,600,TestItemIcon
