ID,Name,Description,ERecipeType,MaxStack,Eatable,HungerRestore,Ingredient1ID,Ingredient2ID,EffectCount,EffectType1,EffectValue1,Duration1,EffectType2,EffectValue2,Duration2,EffectType3,EffectValue3,Duration3,IconPath(Addressable Key)
1,당근,당근,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
2,옥수수,옥수수,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
3,양파,양파,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
4,감자,감자,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
5,호박,호박,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
6,토마토,토마토,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
7,밀,밀,Harvest,99,TRUE,10,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
8,썩은 작물,냄새가 납니다,Harvest,99,TRUE,-5,-,-,0,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
9,태양 당근 찜,활력을 주는 빛의 찜 요리,Buff,99,TRUE,25,당근,당근,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
10,햇살 정원 찜,두 농작물의 달콤함이 조화를 이룬 요리,Buff,99,TRUE,25,당근,옥수수,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
11,은밀한 당파 볶음,몰래 먹으면 힘이 솟는 요리,Buff,99,TRUE,25,당근,양파,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
12,야채 조림,땅 속에서 자란 힘의 근원을 담은 요리,Buff,99,TRUE,25,당근,감자,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
13,주황빛 달빛 카레,신비로운 달 아래서만 완성되는 요리,Buff,99,TRUE,25,당근,호박,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
14,피의 계약 스튜,용사의 피로 맺은 영약 같은 요리,Buff,99,TRUE,25,당근,토마토,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
15,황금빛 당근빵,모험 전에 꼭 챙겨야 할 만능빵,Buff,99,TRUE,25,당근,밀,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
16,황금 옥수수 수프,진정한 농부의 축복을 담은 수프,Buff,99,TRUE,25,옥수수,옥수수,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
17,바람개비 퓨전 찜,샤먼들이 바람을 담아 만든 요리,Buff,99,TRUE,25,옥수수,양파,1,SpeedUp,1,5,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
18,평원의 전사 조림,드워프가 즐겨 먹던 힘의 스튜,Buff,99,TRUE,25,옥수수,감자,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
19,풍요의 늪 파이,풍요신에게 바치던 제물 같은 맛,Buff,99,TRUE,25,옥수수,호박,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
20,붉은 노을 볶음,저녁 하늘의 색을 그대로 담은 요리,Buff,99,TRUE,25,옥수수,토마토,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
21,옥수수 파삭빵,여행자용 간편 에너지 빵,Buff,99,TRUE,25,옥수수,밀,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
22,눈물의 진실 수프,먹으면 진실을 말하게 되는 마법 수프,Buff,99,TRUE,25,양파,양파,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
23,눈물의 회복 스튜,먹으면 HP가 서서히 회복되는 요리,Buff,99,TRUE,25,양파,감자,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
24,어스름의 향 파이,늑대 인간들이 선호하는 야식,Buff,99,TRUE,25,양파,호박,1,SpeedUp,1,10,AttackUp,2,7,DefenseUp,3,6,Assets/04. Images/Carrot.jpg
