ID,Name,Description,MaxStack,HungerRestore,EEffectType1,EffectValue1,Duration1,IconPath
200001,야생 베리,야생 베리입니다.,99,5,HungerTimeRecovery,1,60,TestItemIcon
200002,밤 버섯,밤 버섯입니다.,99,5,HungerTimeRecovery,1,60,TestItemIcon
200003,달빛 꽃,달빛 꽃입니다.,99,5,HungerTimeRecovery,1,60,TestItemIcon
200004,서늘 뿌리,서늘 뿌리입니다.,99,5,HungerTimeRecovery,1,60,TestItemIcon
200005,당근,당근 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200006,옥수수,옥수수 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200007,양파,양파 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200008,감자,감자 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200009,호박,호박 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200010,토마토,토마토 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200011,밀,밀 입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200012,썩은 작물,냄새가 납니다.,99,-5,HungerTimeRecovery,1,60,TestItemIcon
200013,강철,딱딱합니다.,99,-5,HungerTimeRecovery,1,60,TestItemIcon
200014,몬스터 고기,몬스터 고기입니다.,99,10,HungerTimeRecovery,1,60,TestItemIcon
200015,드래곤 고기,드래곤 고기입니다.,99,100,HungerTimeRecovery,1,600,TestItemIcon
