Ingredient1ID,Ingredient2ID,CookTime,FoodID
200005,200005,10,300001
200005,200006,10,300002
200005,200007,10,300003
200005,200008,10,300004
200005,200009,10,300005
200005,200010,10,300006
200005,200011,10,300007
200006,200006,10,300008
200006,200007,10,300009
200006,200008,10,300010
200006,200009,10,300011
200006,200010,10,300012
200006,200011,10,300013
200007,200007,10,300014
200007,200008,10,300015
200007,200009,10,300016
200007,200010,10,300017
200007,200011,10,300018
200008,200008,10,300019
200008,200009,10,300020
200008,200010,10,300021
200008,200011,10,300022
200009,200009,10,300023
200009,200010,10,300024
200009,200011,10,300025
200010,200010,10,300026
200010,200011,10,300027
200011,200011,10,300028
200012,-1,10,300029
200013,-1,10,300030
200015,-1,10,300031
123123,200010,10,300032
