ID,Name,Description,IsIngredient,HasDurability,MaxStack,HungerRestore,EEffectType1,EffectValue1,Duration1,EEffectType2,EffectValue2,Duration2,EEffectType3,EffectValue3,Duration3,IconPath(Addressable Key),PrefabPath(Addressable),InteractionTag
200001,야생 베리,숲속에서 자라는 새콤달콤한 베리입니다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_Wildberry_Icon,Food_Prefab,Player
200002,밤 버섯,어두운 곳에서 자라는 독특한 향의 버섯입니다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_Nightmushroom_Icon,Food_Prefab,Player
200003,달빛 꽃,밤에만 피는 신비한 꽃입니다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_Moonlightflower_Icon,Food_Prefab,Player
200004,서늘 뿌리,땅속 깊이 자라는 차가운 기운의 뿌리입니다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_Chillyroot_Icon,Food_Prefab,Player
200005,당근,나 보고 싶니? 당근! 나 좋아하니? 당근!,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Carrot_Icon,Food_Carrot_Prefab,Player
200006,옥수수,노랗게 익은 곡물. 구워 먹으면 더 맛있습니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Corn_Icon,Food_Corn_Prefab,Player
200007,양파,요리의 기본 재료. 눈물이 날 수도 있습니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Onion_Icon,Food_Onion_Prefab,Player
200008,감자,감자합니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Potato_Icon,Food_Potato_Prefab,Player
200009,호박,호박에 줄을 긋는다고 수박이 됩니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Pumpkin_Icon,Food_Pumpkin_Prefab,Player
200010,토마토,채소인지 과일인지 논란의 중심에 있습니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Tomato_Icon,Food_Tomato_Prefab,Player
200011,밀,가루로 빻아 다양한 요리에 사용이 가능합니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_Wheat_Icon,Food_Wheat_Prefab,Player
200012,썩은 작물,이미 썩어버린 채소. 심한 악취를 풍깁니다.,TRUE,FALSE,99,-5,HungerRecoveryOverTime,1,60,,,,,,,Food_RottenCrop_Icon,Food_RottenCrop_Prefab,Player
200013,강철,딱딱합니다.,TRUE,FALSE,99,-5,HungerRecoveryOverTime,-0.2,60,,,,,,,Food_Steel_Icon,Food_Prefab,Player
200014,몬스터 고기,던전에서 얻을 수 있는 정체 불명의 고기입니다.,TRUE,FALSE,99,10,HungerRecoveryOverTime,1,60,,,,,,,Food_MonsterMeat_Icon,Food_Prefab,Player
200015,슬라임 수액,"끈적한 질감 때문에 생으로는 거부감이 들지만, 요리에 활용하면 은은한 단맛을 더하는 훌륭한 조미료가 된다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_SlimeJelly_Icon,Food_Prefab,Player
200016,거미 다리,익히면 새우 맛이 나는 독특한 부위. 튀기거나 장조림처럼 조리하면 고소한 풍미가 살아나 많은 모험가들이 즐긴다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_SpiderLeg_Icon,Food_Prefab,Player
200017,파수꾼의 촉수,"도무지 먹을 수 있을 것 같지 않은 생김새지만, 특유의 향으로 인해 의외로 인기 있는 식재료다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_SentinelTentacle_Icon,Food_Prefab,Player
200018,미믹의 관자,"미믹이 상자를 움켜쥘 때 쓰는 근육 부위. 구우면 쫀득한 식감이 일품이며, 감칠맛이 깊다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_MimicScallop_Icon,Food_Prefab,Player
200019,게딱지,날카로운 등껍질을 제거하면 남는 부위는 모두 요리 가능하다. 어떤 방식으로 조리해도 맛이 뛰어나 ‘던전 최고의 식재료’로 불린다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_CrabShell_Icon,Food_Prefab,Player
200020,하루살이의 가슴살,날아다니는 몬스터 답게 가슴 근육이 매우 발달되어 있다. 단백질 함량이 높아 전사들이 선호하는 식재료이다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_MayflyBreast_Icon,Food_Prefab,Player
200021,도마뱀 다리,딱딱한 발톱만 잘 손질해서 튀기면 훌륭한 술 안주가 된다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_LizardLeg_Icon,Food_Prefab,Player
200022,냄새나는 고기,"생김새와 냄새만 보면 식용이 의심되지만, 은근히 풍부한 육즙을 자랑한다. 처음 먹은 이의 용기에 경의를.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_SmellyMeat_Icon,Food_Prefab,Player
200023,독버섯의 갓,"독이 있을 수도, 없을 수도 있다. 고수 요리사들은 갓의 미세한 반점과 탄력을 보고 안전 여부를 판별한다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_ToxicMushroomCap_Icon,Food_Prefab,Player
200024,가오리 날개,쩌먹으면 맛있다. 특히 연골이 부드러워 칼슘 섭취에도 좋은 던전 속 영양 간식이다.,TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_StingrayWing_Icon,Food_Prefab,Player
200025,샐러맨더의 꼬리,"통통한 꼬리가 매력적인 재료. 조리 전 팔딱이는 모습이 다소 섬뜩하지만, 매니아층에게는 사랑받는 인기 부위다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_SalamanderTail_Icon,Food_Prefab,Player
200026,다리 달린 생선,"기괴한 외형과는 달리 몸통에서는 생선 맛, 다리에서는 닭고기 맛이 나는 이색 식재료. 미식가들 사이에서 은근한 인기를 끌고 있다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_WalkingFish_Icon,Food_Prefab,Player
200027,선인장 열매,"새콤달콤한 풍미가 일품인 열매. 먹기 전 가시는 반드시 제거해야 하며, 던전에서 갈증 해소용 간식으로도 유용하다.",TRUE,FALSE,99,5,HungerRecoveryOverTime,1,60,,,,,,,Food_CactusFruit_Icon,Food_Prefab,Player
200028,드래곤 고기,"불꽃 속에서 씹히는 전설의 질감, 한입에 용의 분노가 살아난다.",TRUE,FALSE,99,100,HungerRecoveryOverTime,1,600,,,,,,,Food_RedDragonMeat_Icon,Food_Prefab,Player
200029,질서의 숲 카레,"질서 정령이 지키는 숲의 향신료를 가득 담은 카레. 먹는 순간 뒤엉킨 감각이 정돈되고, 숲의 규율이 몸속에 스며드는 듯한 평온함이 찾아온다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_ForestCurryOfOrder_Icon,Food_Prefab,Player
200030,고요의 향 수프,"마음을 어지럽히는 모든 파동을 잠재우는 은은한 향의 따뜻한 수프. 달빛 아래 피는 허브와 맑은 물로 끓여내어, 마시는 순간 내면이 잔잔한 호수처럼 고요해진다.",FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_SoupOfSerenity_Icon,Food_Prefab,Player
200031,달빛 과실 카레,달 아래에서 숙성된 과실로 만든 부드러운 카레. 과즙의 단맛과 향신료의 은은한 열기가 밤을 달래준다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_MoonlightFruitCurry_Icon,Food_Prefab,Player
200032,서리 열매 볶음,극한의 추위를 견뎌낸 서리 열매와 신선한 채소를 빠르게 볶아낸 상큼한 요리. 정신이 흐릿할 때 깨어나기에 좋은 자각의 음식이다.,FALSE,FALSE,99,25,HungerRecoveryOverTime,1,60,MoveSpeed,0.1,60,,,,Food_FrostberryStirFry_Icon,Food_Prefab,Player
