TID,EStatType,EStatModifierType,Description,ExtraDescription,IconPath(Addressable Key)
210001,HungerRecoveryOverTime,Add,"{1} 동안, 1초마다 배고픔이 {0}씩 회복됩니다.",배고픔 지속 공급,FoodEffect_HungerRecoveryOverTime_Icon
210002,HungerConsumeReduction,Multiply,"{1} 동안, 배고픔 소모량이 {0}% 감소합니다.",배고픔 소모 퍼센트 감소,FoodEffect_HungerConsumeReduction_Icon
210003,MaxHunger,Add,"{1} 동안, 최대 배고픔이 {0}만큼 증가합니다.",최대 배고픔 증가,FoodEffect_MaxHunger_Icon
210004,ManaRecoveryOverTime,Add,"{1} 동안, 1초마다 마나가 {0}씩 회복됩니다.",마나 지속 공급,FoodEffect_ManaRecoveryOverTime_Icon
210005,MaxMana,Add,"{1} 동안, 최대 마나가 {0}만큼 증가합니다.",최대 마나 증가,FoodEffect_MaxMana_Icon
210006,MoveSpeed,Multiply,"{1} 동안, 이동 속도가 {0}% 증가합니다.",이동 속도 증가,FoodEffect_MoveSpeed_Icon
210007,TotalDamage,Multiply,"{1} 동안, 모든 공격 피해량이 {0}% 증가합니다.",전체 피해량 증가,FoodEffect_TotalDamage_Icon
210008,MeleeDamage,Multiply,"{1} 동안, 물리 공격 피해량이 {0}% 증가합니다.","물리(검,도끼, 빤치) 피해량 증가",FoodEffect_MeleeDamage_Icon
210009,MagicDamage,Multiply,"{1} 동안, 마법 공격 피해량이 {0}% 증가합니다.",마법 피해량 증가,FoodEffect_MagicDamage_Icon
210010,AttackSpeed,Multiply,"{1} 동안, 공격 속도가 {0}% 증가합니다.",공격 속도 증가,FoodEffect_AttackSpeed_Icon
210011,Defense,Add,"{1} 동안, 전체 방어력이 {0}만큼 증가합니다.",전체 방어력 증가,FoodEffect_Defense_Icon
210012,MeleeDefense,Add,"{1} 동안, 근접 방어력이 {0}만큼 증가합니다.",근거리 방어력 증가,FoodEffect_MeleeDefense_Icon
210013,MagicDefense,Add,"{1} 동안, 마법 방어력이 {0}만큼 증가합니다.",마법 방어력 증가,FoodEffect_MagicDefense_Icon
210014,BossDamage,Multiply,"{1} 동안, 보스에게 주는 피해량이 {0}% 증가합니다.",보스에게 주는 피해 증가,FoodEffect_BossDamage_Icon
210015,BossDefense,Multiply,"{1} 동안, 보스로부터 받는 피해량이 {0}% 감소합니다.",보스에게 받는 피해 감소,FoodEffect_BossDefense_Icon
210016,CritChance,Add,"{1} 동안, 치명타 확률이 {0}% 증가합니다.",크리티컬 확률,FoodEffect_CritChance_Icon
210017,CritDamageRatio,Multiply,"{1} 동안, 치명타 피해량이 {0}% 증가합니다.",크리티컬 피해량,FoodEffect_CritDamageRatio_Icon
