TID,EItemType,EStatType,Description,ExtraDescription
210001,Food,HungerRecoveryOverTime,"{1} 동안, 1초마다 배고픔이 {0}씩 회복됩니다.",배고픔 지속 공급
210002,Food,HungerConsumeReduction,"{1} 동안, 배고픔 소모량이 {0}% 감소합니다.",배고픔 소모 퍼센트 감소
210003,Food,MaxHunger,"{1} 동안, 최대 배고픔이 {0}만큼 증가합니다.",최대 배고픔 증가
210004,Food,ManaRecoveryOverTime,"{1} 동안, 1초마다 마나가 {0}씩 회복됩니다.",마나 지속 공급
210005,Food,MaxMana,"{1} 동안, 최대 마나가 {0}만큼 증가합니다.",최대 마나 증가
210006,Food,MoveSpeed,"{1} 동안, 이동 속도가 {0}% 증가합니다.",이동 속도 증가
210007,Food,TotalDamage,"{1} 동안, 모든 공격 피해량이 {0}% 증가합니다.",전체 피해량 증가
210008,Food,MeleeDamage,"{1} 동안, 물리 공격 피해량이 {0}% 증가합니다.","물리(검,도끼, 빤치) 피해량 증가"
210009,Food,MagicDamage,"{1} 동안, 마법 공격 피해량이 {0}% 증가합니다.",마법 피해량 증가
210010,Food,AttackSpeed,"{1} 동안, 공격 속도가 {0}% 증가합니다.",공격 속도 증가
210011,Food,Defense,"{1} 동안, 전체 방어력이 {0}만큼 증가합니다.",전체 방어력 증가
210012,Food,MeleeDefense,"{1} 동안, 근접 방어력이 {0}만큼 증가합니다.",근거리 방어력 증가
210013,Food,MagicDefense,"{1} 동안, 마법 방어력이 {0}만큼 증가합니다.",마법 방어력 증가
210014,Food,BossDamage,"{1} 동안, 보스에게 주는 피해량이 {0}% 증가합니다.",보스에게 주는 피해 증가
210015,Food,BossDefense,"{1} 동안, 보스로부터 받는 피해량이 {0}% 감소합니다.",보스에게 받는 피해 감소
210016,Food,CritChance,"{1} 동안, 치명타 확률이 {0}% 증가합니다.",크리티컬 확률
210017,Food,CritDamageRatio,"{1} 동안, 치명타 피해량이 {0}% 증가합니다.",크리티컬 피해량
210018,Weapon,MeleeDamage,공격력 {0},공격력
210019,Weapon,MagicDamage,마법 공격력 {0},마법 공격력
210020,Weapon,AttackSpeed,공격속도 {0},공격속도
210021,Weapon,AttackRange,공격범위 {0},공격범위
