ID,Name,Description,InteractionTag,Action,IconPath(Addressable)
100001,랜덤 씨앗,랜덤 씨앗입니다.,PlantGround,Plant,Random_Icon
100002,당근 씨앗,당근 씨앗입니다.,PlantGround,Plant,Carrot_Icon
100003,옥수수 씨앗,옥수수 씨앗입니다.,PlantGround,Plant,Corn_Icon
100004,양파 씨앗,양파 씨앗입니다.,PlantGround,Plant,Onion_Icon
100005,감자 씨앗,감자 씨앗입니다.,PlantGround,Plant,Potato_Icon
100006,호박 씨앗,호박 씨앗입니다.,PlantGround,Plant,Pumpkin_Icon
100007,토마토 씨앗,토마토 씨앗입니다.,PlantGround,Plant,Tomato_Icon
100008,밀 씨앗,밀 씨앗입니다.,PlantGround,Plant,Wheat_Icon
500001,호미,호미입니다.,FarmingGround,Plow,
500002,물뿌리개,물뿌리개입니다.,FarmingGround,Water,
