NPC,NPC ID,Dialogue ID,Dialogue Contents
별똥별 연금술사 모르칸,1200001,2,"“시체 한 구에, 별빛 한 조각이면 충분하지. 자, 누굴 다시 부르고 싶나?”"
별똥별 연금술사 모르칸,1200001,3,“죽음은 선형이 아니야. 원이라네. 나는 그 궤도를 잠시… 거슬러볼 뿐.”
별똥별 연금술사 모르칸,1200001,4,“그가 돌아왔군. 다만 예전과 완전히 같진 않을 거야… 별빛은 늘 다른 얼굴을 하거든.”
정원사 마리안,1200002,1,“좋은 땅과 좋은 씨앗만 있다면 뭐든 자라지.”
정원사 마리안,1200002,2,“씨앗은 정직해. 정성을 들인 만큼 돌려주지.”
정원사 마리안,1200002,3,“식물도 말을 해. 다만 귀를 기울이는 자만이 들을 수 있지.”
정원사 마리안,1200002,4,“다음엔 희귀종도 가져올 수 있을지도 몰라.”
정원사 마리안,1200002,5,“이 던전에도 봄은 와. 그저 누군가 땅을 갈아야 할 뿐이지.”
정원사 마리안,1200002,6,"“좋은 씨앗은 말을 하지. 어디서 자라고 싶은지, 어떤 열매를 맺고 싶은지도.”"
정원사 마리안,1200002,7,"“흙은 다 알고 있어. 누가 밟았는지, 누가 묻혔는지, 누가 다시 피어날지를.”"
정원사 마리안,1200002,8,“좋은 선택이야. 그 씨앗은… 한때 울던 아이가 심은 종류지.”
미식 연구가 로사린,1200003,1,“이 레시피는 나만 알고 있던 건데…”
미식 연구가 로사린,1200003,2,“요리는 과학이자 예술이야. 가끔은 마법이기도 하지.”
미식 연구가 로사린,1200003,3,“너 같은 모험가라면 이 맛의 비밀을 알 자격이 있겠지?”
미식 연구가 로사린,1200003,4,"“불 조절, 재료 순서… 잊지 마. 디테일이 모든 걸 바꿔.”"
재단사 에스텔라,1200004,1,“이걸 입으면 넌 오늘 가장 빛나는 존재가 될 거야!”
재단사 에스텔라,1200004,2,"“외모도 전투력의 일부야, 알지?”"
재단사 에스텔라,1200004,3,“어떤 룩이 나올진 나도 몰라! 그게 또 묘미지.”
재단사 에스텔라,1200004,4,“오~ 이건 진짜 레어템이야! 잘 어울리네!”
