ParticleKey,AddressablePath
Explosion_Default,Particle_Explosion_Default
Explosion_Fireball,Particle_Explosion_Fireball
Hit_Axe,Particle_Hit_Axe
Hit_Default,Particle_Hit_Default
Hit_Sword,Particle_Hit_Sword
Hit_Unarmed,Particle_Hit_Unarmed
Swing_Default,Particle_Swing_Default
Swing_Axe,Particle_Swing_Axe
Swing_Staff,Particle_Swing_Staff
Swing_Sword,Particle_Swing_Sword
Swing_Unarmed,Particle_Swing_Unarmed
Use_Fail_Eat,Particle_Use_Fail_Eat
Use_Start_WateringCan,Particle_Use_Start_WateringCan
Use_Success_Eat,Particle_Use_Success_Eat
Use_Success_Hoe,Particle_Use_Success_Hoe
BerserkStart,Particle_BerserkStart
Farming_Alarm,Particle_Farming
Item_Effect,Particle_Item_Effect
