ID,Name,Description,ETraitType,ECalculateType,Position,MaxLevel,EContextType,ETriggerType,TriggerValue,EffectName,EStatType,FixedValue,EPlayerState,NValue,EBuffType,BuffValue,BuffDuration,EAffectStatType,AffectStatValue,AffectStatValue2,IconPath(Addressable)
1100001,먹어야 산다,"배고픔이 절반 이하일 때, 음식의 배고픔 회복 효과가 {0}% 증가합니다.",Vitality,Multiplicative,0,5,OnEat,HungerBelowThreshold,0.5,HungerRestore,,,,0.02,,,,HungerRestore,0.02,2%,
1100002,가짜 배고픔,"5초간 정지하면, 이후 가만히 있는 동안 1초마다 최대 배고픔의 {0}%만큼 증가합니다.",Vitality,Multiplicative,1,5,OnIdle,"EveryOneSecond, StateTime",5,HungerRestoreByMaxHunger,,,Idle,0.002,RestoreHungerByMaxHungerBuff,0.002,1,,,,
1100003,건강한 체질,"배고픔이 70% 이상일 때, 음식 효과가 {0}% 증가됩니다.",Vitality,Multiplicative,2,5,OnEat,HungerAboveThreshold,0.7,FoodEffectBoost,,,,0.06,,,,FoodEffectValue,0.06,6%,
1100004,꼭꼭 씹어먹어라,"음식을 먹을 때, 추가로 {0}%만큼 배고픔을 회복합니다.",Vitality,Multiplicative,3,5,OnEat,Always,,HungerRestore,,,,0.04,,,,ExtraHungerRestore,0.04,4%,
1100005,마지막 한 입,"죽음 직전, 1의 배고픔으로 버틸 확률이 {0}% 증가합니다.",Vitality,Multiplicative,4,5,OnDamaged,OnDeath,,,,,,0.01,,,,SurviveWithOneHunger,0.01,1%,
1100006,위기의 포만감,"광폭화 상태일 때, {0}% 확률로 음식의 배고픔 회복 효과가 두배가 됩니다.",Vitality,Multiplicative,5,5,OnEat,"OnNChance, IsState",,HungerDoubleRestoreChance,,1,Berserk,0.1,,,,DoubleHungerRestore,0.1,10%,
1100007,지구력 주자,"이동 중일 때, 배고픔 소모량이 {0}% 감소합니다.",Sprinting,Multiplicative,0,5,OnSkillUpgrade,Always,,StatChange,HungerConsumeReduction,,,0.05,,,,HungerDrainReduction,0.05,5%,
1100008,균형 잡힌 자세,"5초간 정지 시, 5초 동안 회피 확률이 {0}% 증가합니다.",Sprinting,Multiplicative,1,5,OnIdle,StateTime,5,StatBuff,EvadeChance,5,Idle,0.05,DodgeChanceBuff,,5,,,,
1100009,빨리 가야 해!,"3초 이상 연속 이동 시, 5초 동안 이동 속도가 {0}% 증가합니다.",Sprinting,Multiplicative,2,5,OnMove,StateTime,3,StatBuff,MoveSpeed,,Move,0.02,MoveSpeedBuff,,5,,,,
1100010,탈출 예술가,주마등 지속 시간이 {0}초 증가합니다.,Sprinting,Additive,3,5,OnDead,Always,,FlashbackDelay,,,,10,,,,FlashbackDuration,10,10초,
1100011,패왕색 패기,주변 적의 이동 속도가 {0}% 감소합니다.,Sprinting,Multiplicative,4,5,OnAnyContext,Always,,EnemySlow,,,,-0.04,,,,EnemyMoveSpeed,-0.04,-4%,
1100012,늪에 빠지다,"광폭화 상태일 때, 이동 속도가 {0}% 감소합니다.",Sprinting,Multiplicative,5,5,OnMad,Always,,StatChange,MoveSpeed,,,-0.1,,,,MoveSpeed,-0.1,-10%,
1100013,빠른 공격,공격 속도가 {0}% 증가합니다.,MeleeCombat,Multiplicative,0,5,OnSkillUpgrade,Always,,StatChange,AttackSpeed,,,0.05,,,,AttackSpeed,0.05,5%,
1100014,분노 누적,"공격할 때마다 피해량이 2%씩 증가하며, 최대 {0}회까지 누적됩니다.",MeleeCombat,Additive,1,5,OnAttack,OnConsecutiveAttack,2,ConsecutiveAttackTotalDamageBuff,,0.02,,5,AttackDamageBuff,,,,,,
1100015,빠르고 맹렬하게,"근접 공격 시, {0}% 확률로 5초 동안 공격 속도가 50% 증가합니다.",MeleeCombat,Multiplicative,2,5,OnMeleeAttack,OnNChance,,StatBuff,AttackSpeed,0.5,,0.02,AttackSpeedBuff,0.5,5,,,,
1100016,무거운 스윙,"치명타 발생 시, 배고픔이 {0}% 회복됩니다.",MeleeCombat,Multiplicative,3,5,OnMeleeAttack,OnCriticalHit,,HungerRestore,,,,0.03,,,,HungerRestore,0.03,3%,
1100017,끓어오르는 칼날,"근접 공격 시, {0}% 확률로 배고픔이 1% 회복됩니다.",MeleeCombat,Multiplicative,4,5,OnAttack,OnNChance,,HungerOnePercentRestoreByChance,,0.01,,0.1,,,,HungerRestore,0.1,10%,
1100018,고대의 힘,보스에게 주는 근접 피해가 {0}% 증가합니다.,MeleeCombat,Multiplicative,5,5,OnAttack,OnBossAttack,,StatChange,BossDamage,,,0.04,,,,MeleeDamage,0.04,4%,
1100019,진실한 시력,치명타 확률이 {0}% 증가합니다.,Magic,Multiplicative,0,5,OnSkillUpgrade,Always,,StatChange,CritChance,,,0.01,,,,CriticalChance,0.01,1%,
1100020,마나 채널링,"치명타 발생 시, 마나가 {0}% 회복됩니다.",Magic,Multiplicative,1,5,OnMagicAttack,OnCriticalHit,,ManaRestore,,,,0.05,,,,ManaRestore,0.05,5%,
1100021,마나 재충전,마나 재생량이 {0}% 증가합니다.,Magic,Multiplicative,2,5,OnSkillUpgrade,Always,,StatChange,ManaRecoveryOverTime,,,0.06,,,,ManaRegen,0.06,6%,
1100022,주문 수혈,"마법 공격 시, 배고픔이 {0}% 회복됩니다.",Magic,Multiplicative,3,5,OnMagicAttack,Always,,HungerRestore,,,,0.01,,,,HungerRestore,0.01,1%,
1100023,최면,"NPC와 거래 시, 거래 가격이 {0}% 감소합니다.",Magic,Multiplicative,4,5,OnTrade,Always,,NpcDeal,,,,-0.05,,,,TradeCost,-0.05,-5%,
1100024,약한 광폭화,"광폭화 상태일 때, 공격력이 {0}% 감소합니다.",Magic,Multiplicative,5,5,OnMad,Always,,StatChange,TotalDamage,,,-0.1,,,,Damage,-0.1,-10%,
1100025,감사하는 정원사,"식물 수확 시, 씨앗을 얻을 확률이 {0}% 증가합니다.",Farming,Multiplicative,0,5,OnHarvest,OnNChance,,GetSeed,,,,0.1,,,,SeedDropChance,0.1,10%,
1100026,존경하는 농부,"수확물을 먹을 때, 음식의 배고픔 회복 효과가 {0}% 증가합니다.",Farming,Multiplicative,1,5,OnEat,IsHarvested,,HungerRestore,,,,0.01,,,,HungerRestore,0.01,1%,
1100027,자연의 식량,"식물 수확 시, 배고픔이 {0}% 회복됩니다.",Farming,Multiplicative,2,5,OnHarvest,Always,,HungerRestore,,,,0.01,,,,HungerRestore,0.01,1%,
1100028,가시 투성이 무기,치명타 피해량이 {0}% 증가합니다.,Farming,Multiplicative,3,5,OnSkillUpgrade,Always,,StatChange,CritDamageRatio,,,0.04,,,,CriticalDamage,0.04,4%,
